question,option1,option2,option3,answer
蘋果的注音是？,ㄆㄧㄥˊ ㄍㄨㄛˇ,ㄆㄧㄣ ㄍㄨㄛˇ,ㄅㄧㄥ ㄍㄨㄛˇ,1
貓的注音是？,ㄇㄤ,ㄇㄠ,ㄋㄠ,2
狗的注音是？,ㄍㄠˇ,ㄎㄡˇ,ㄍㄡˇ,3
車的注音是？,ㄔㄜ,ㄓㄜ,ㄘㄜ,1
書的注音是？,ㄕㄡ,ㄕㄨ,ㄙㄨ,2
水的注音是？,ㄙㄨㄟˇ,ㄕㄨㄛˇ,ㄕㄨㄟˇ,3
火的注音是？,ㄏㄨㄛˇ,ㄎㄨㄛˇ,ㄏㄨㄚˇ,1
山的注音是？,ㄙㄢ,ㄕㄢ,ㄕㄤ,2
老師的注音是？,ㄋㄠˇ ㄕ,ㄌㄠˇ ㄙ,ㄌㄠˇ ㄕ,3
學生的注音是？,ㄒㄩㄝˊ ㄕㄥ,ㄒㄧㄝˊ ㄕㄥ,ㄒㄩㄝˊ ㄙㄥ,1
學校的注音是？,ㄒㄧㄝˊ ㄒㄧㄠˋ,ㄒㄩㄝˊ ㄒㄧㄠˋ,ㄒㄩㄝˊ ㄐㄧㄠˋ,2
朋友的注音是？,ㄆㄥˊ ㄧㄡˇ,ㄆㄥˊ ㄧㄡ,ㄆㄣˊ ㄧㄡˇ,1
吃飯的注音是？,ㄔ ㄈㄤˋ,ㄔ ㄈㄢˋ,ㄘ ㄈㄢˋ,2
喝水的注音是？,ㄏㄜ ㄕㄨㄟˇ,ㄏㄜ ㄙㄨㄟˇ,ㄏㄜ ㄕㄨㄛˇ,1
老虎的注音是？,ㄌㄠˇ ㄎㄨˇ,ㄋㄠˇ ㄏㄨˇ,ㄌㄠˇ ㄏㄨˇ,3
大象的注音是？,ㄉㄚˋ ㄒㄧㄤ,ㄊㄚˋ ㄒㄧㄤˋ,ㄉㄚˋ ㄒㄧㄤˋ,3
兔子的注音是？,ㄊㄨˋ ㄗ˙,ㄊㄨ ㄗ˙,ㄉㄨˋ ㄗ˙,1
魚的注音是？,ㄧㄩˊ,ㄩˊ,ㄩ,2
麵包的注音是？,ㄇㄧㄢˋ ㄅㄠ,ㄇㄧㄢˋ ㄆㄠ,ㄇㄧㄣˋ ㄅㄠ,1
牛奶的注音是？,ㄌㄧㄡˊ ㄋㄞˇ,ㄋㄧㄡˊ ㄋㄞˇ,ㄋㄧㄡˊ ㄋㄞ,2
米飯的注音是？,ㄇㄧˇ ㄈㄤˋ,ㄇㄧ ㄈㄢˋ,ㄇㄧˇ ㄈㄢˋ,3
蛋糕的注音是？,ㄉㄢ ㄍㄠ,ㄉㄢˋ ㄍㄠ,ㄊㄢˋ ㄍㄠ,2
公園的注音是？,ㄍㄨㄥ ㄩㄢ,ㄍㄨㄥ ㄩㄢˊ,ㄎㄨㄥ ㄩㄢˊ,2
醫院的注音是？,ㄧ ㄩㄢ,ㄧ ㄩㄢˋ,ㄧˊ ㄩㄢˋ,2
商店的注音是？,ㄕㄤ ㄉㄧㄢˋ,ㄕㄤ ㄊㄧㄢˋ,ㄙㄤ ㄉㄧㄢˋ,1
太陽的注音是？,ㄊㄞ ㄧㄤˊ,ㄊㄞˋ ㄧㄤˊ,ㄉㄞˋ ㄧㄤˊ,2
月亮的注音是？,ㄩㄝˋ ㄌㄧㄤˋ,ㄩㄝ ㄌㄧㄤˋ,ㄩㄝˋ ㄋㄧㄤˋ,1
天空的注音是？,ㄊㄧㄢ ㄎㄨㄥ,ㄊㄧㄢ ㄍㄨㄥ,ㄊㄧㄢ ㄎㄨㄥˋ,1
白雲的注音是？,ㄅㄞ ㄩㄣˊ,ㄅㄞˊ ㄩㄣˊ,ㄆㄞˊ ㄩㄣˊ,2
雨的注音是？,ㄩ,ㄩˋ,ㄩˇ,3
風的注音是？,ㄈㄥˋ,ㄈㄥ,ㄆㄥ,2
門的注音是？,ㄇㄥˊ,ㄇㄣˊ,ㄋㄣˊ,2
窗戶的注音是？,ㄔㄨㄤ ㄏㄨˋ,ㄔㄨㄤ ㄍㄨˋ,ㄘㄨㄤ ㄏㄨˋ,1
桌子的注音是？,ㄓㄨㄛ ㄗ˙,ㄗㄨㄛ ㄗ˙,ㄓㄨㄛ ㄓ˙,1
椅子的注音是？,ㄧˇ ㄗ˙,ㄧ ㄗ˙,ㄧˇ ㄓ˙,1
電腦的注音是？,ㄉㄧㄢ ㄋㄠˇ,ㄉㄧㄢˋ ㄋㄠˇ,ㄊㄧㄢˋ ㄋㄠˇ,2
手機的注音是？,ㄕㄡˇ ㄐㄧ,ㄙㄡˇ ㄐㄧ,ㄕㄡˇ ㄐㄧˋ,1
鉛筆的注音是？,ㄑㄧㄢ ㄅㄧˇ,ㄐㄧㄢ ㄅㄧˇ,ㄑㄧㄢ ㄆㄧˇ,1
橡皮擦的注音是？,ㄒㄧㄤˋ ㄆㄧˊ ㄘㄚ,ㄒㄧㄤ ㄆㄧˊ ㄘㄚ,ㄒㄧㄤˋ ㄅㄧˊ ㄘㄚ,1
早安的注音是？,ㄗㄠˇ ㄢ,ㄓㄠˇ ㄢ,ㄗㄠ ㄢ,1
晚安的注音是？,ㄨㄢˇ ㄢ,ㄨㄤˇ ㄢ,ㄨㄢ ㄢ,1
謝謝的注音是？,ㄒㄧㄝ ㄒㄧㄝ,ㄒㄧㄝˋ ㄒㄧㄝ,ㄒㄧㄝˋ ㄒㄧㄝˋ,2
再見的注音是？,ㄗㄞˋ ㄐㄧㄢˋ,ㄓㄞˋ ㄐㄧㄢˋ,ㄗㄞ ㄐㄧㄢˋ,1
請問的注音是？,ㄑㄧㄥˇ ㄨㄣˋ,ㄑㄧㄥ ㄨㄣˋ,ㄐㄧㄥˇ ㄨㄣˋ,1
對不起的注音是？,ㄉㄨㄟ ㄅㄨˋ ㄑㄧˇ,ㄉㄨㄟˋ ㄅㄨˋ ㄑㄧˇ,ㄊㄨㄟˋ ㄅㄨˋ ㄑㄧˇ,2
沒關係的注音是？,ㄇㄟˊ ㄍㄨㄢ ㄒㄧˋ,ㄇㄟ ㄍㄨㄢ ㄒㄧˋ,ㄇㄟˊ ㄎㄨㄢ ㄒㄧˋ,1
喜歡的注音是？,ㄒㄧˇ ㄏㄨㄢ,ㄒㄧ ㄏㄨㄢ,ㄒㄧˇ ㄏㄨㄢˋ,1
開心的注音是？,ㄎㄞ ㄒㄧㄣ,ㄎㄞˋ ㄒㄧㄣ,ㄎㄞ ㄒㄧㄣˋ,1
難過的注音是？,ㄋㄢ ㄍㄨㄛˋ,ㄋㄢˊ ㄍㄨㄛˋ,ㄌㄢˊ ㄍㄨㄛˋ,2
漂亮的注音是？,ㄆㄧㄠˋ ㄌㄧㄤˋ,ㄆㄧㄠ ㄌㄧㄤˋ,ㄅㄧㄠˋ ㄌㄧㄤˋ,1
可愛的注音是？,ㄎㄜ ㄞˋ,ㄎㄜˇ ㄞˋ,ㄎㄜˇ ㄞ,2
高興的注音是？,ㄍㄠ ㄒㄧㄥˋ,ㄎㄠ ㄒㄧㄥˋ,ㄍㄠ ㄒㄧㄥ,1
生氣的注音是？,ㄕㄥ ㄑㄧˋ,ㄙㄥ ㄑㄧˋ,ㄕㄥ ㄑㄧ,1
今天的注音是？,ㄐㄧㄣ ㄊㄧㄢ,ㄐㄧㄥ ㄊㄧㄢ,ㄐㄧㄣ ㄊㄧㄢˋ,1
明天的注音是？,ㄇㄧㄥˊ ㄊㄧㄢ,ㄇㄧㄥ ㄊㄧㄢ,ㄇㄧㄣˊ ㄊㄧㄢ,1
昨天的注音是？,ㄗㄨㄛˊ ㄊㄧㄢ,ㄓㄨㄛˊ ㄊㄧㄢ,ㄗㄨㄛ ㄊㄧㄢ,1
現在的注音是？,ㄒㄧㄢˋ ㄗㄞˋ,ㄒㄧㄢ ㄗㄞˋ,ㄒㄧㄢˋ ㄓㄞˋ,1
